Rok;Zadanie;Nazwa;Rodzaj;Trudność;Rozwiązane?;Link;UWAGI
2024;1;Liczydło;Rysunek;3;;[Zadanie 1/2024](e2/2024_Rozwiązania/zadanie1.pdf);
2024;2;Kolorowy zegar;;2;;[Zadanie 2/2024](e2/2024_Rozwiązania/zadanie2.pdf);
2024;3;Zadanie Naj…;;1;;[Zadanie 3/2024](e2/2024_Rozwiązania/zadanie3.pdf);
2024;4;Liczby pierwsze Germian;;2;;[Zadanie 4/2024](e2/2024_Rozwiązania/zadanie4.pdf);
2023;1;Szyfr trójkątny;Rysunek;2;;[Zadanie 1/2023](e2/2023_Rozwiązania/zadanie1.pdf);
2023;2;Kodowanie;;1;;[Zadanie 2/2023](e2/2023_Rozwiązania/zadanie2.pdf);
2023;3;Ogrodzenie;;2;;[Zadanie 3//2023](e2/2023_Rozwiązania/zadanie3.pdf);
2023;4;Pamięć absolutna;;2;;[Zadanie 4/2023](e2/2023_Rozwiązania/zadanie4.pdf);
2022;1;Wieże;Rysunek;2;;[Zadanie 1/2022](e2/2022_Rozwiązania/zadanie1.pdf);
2022;2;Nasłuch;;1;;[Zadanie 2/2022](e2/2022_Rozwiązania/zadanie2.pdf);
2022;3;Liczby Janka;;2;;[Zadanie 3/2022](e2/2022_Rozwiązania/zadanie3.pdf);
2022;4;Szyfr kolumnowy;;2;;[Zadanie 4/2022](e2/2022_Rozwiązania/zadanie4.pdf);
2021;1;Góry;Rysunek;2;;[Zadanie 1/2021](e2/2021_Rozwiązania/zadanie1.pdf);
2021;2;Papadam;;1;;[Zadanie 2/2021](e2/2021_Rozwiązania/zadanie2.pdf);
2021;3;Wagi napisów;;2;;[Zadanie 3/2021](e2/2021_Rozwiązania/zadanie3.pdf);
2021;4;Liczby czterocyfrowe;;1;;[Zadanie 4/2021](e2/2021_Rozwiązania/zadanie4.pdf);
2020;1;Kwadratowy szyfr;Rysunek;1;TAK;[Zadanie 1/2020](e2/2020_Rozwiązania/zadanie1.pdf);
2020;2;Liczby ;;1;TAK;[Zadanie 2/2020](e2/2020_Rozwiązania/zadanie2.pdf);
2020;3;Klocki;;3;;[Zadanie 3/2020](e2/2020_Rozwiązania/zadanie3.pdf);
2020;4;Palindromy;;2;;[Zadanie 4/2020](e2/2020_Rozwiązania/zadanie4.pdf);
